4946, 750, 6871
5394, 1250, 6852
4905, 1750, 7277
4545, 2250, 6930
4345, 2750, 6365
3762, 3250, 6393
3667, 3750, 6319
3782, 4250, 5749
3619, 4750, 5433
3129, 5250, 5531
2880, 5750, 5697
2691, 6250, 5829
2840, 6750, 5687
3073, 7250, 5772
3097, 7750, 5708
3259, 8250, 6019
3517, 8750, 6066
5082, 9250, 6134
5902, 9750, 6049
6354, 10250, 6275
6569, 10750, 6673
6727, 11250, 6687
6893, 11750, 6515
6768, 12250, 6592
6472, 12750, 6609
6338, 13250, 6739
6382, 13750, 6542
7395, 14750, 6645
6832, 14250, 6594
