2299, 602, 1803
2134, 807, 2089
2060, 1012, 2244
1967, 1217, 2317
1955, 1422, 2317
1758, 1626, 2421
1639, 1831, 2538
1741, 2036, 2498
1749, 2241, 2474
1824, 2446, 2341
1835, 2650, 2251
1863, 2855, 2197
1885, 3060, 2151
1847, 3265, 2137
1891, 3470, 2190
1941, 3674, 2205
1978, 3879, 2158
2028, 4084, 2184
2059, 4289, 2179
2086, 4494, 2211
2086, 4698, 2292
2086, 4903, 2283
2173, 5108, 2271
2210, 5313, 2321
2219, 5518, 2274
2263, 5723, 2359
2286, 5927, 2341
2402, 6132, 2350
2558, 6337, 2347
2558, 6542, 2318
2715, 6747, 2257
2808, 6951, 2161
2877, 7156, 2057
2964, 7361, 2039
2941, 7566, 1984
2938, 7771, 1932
2789, 7975, 1926
2819, 8180, 1898
2787, 8385, 1839
2648, 8590, 1789
2345, 8795, 1779
2253, 8999, 1768
2225, 9204, 1766
2223, 9409, 1688
2190, 9614, 1749
2104, 9819, 1846
2018, 10023, 1830
1879, 10228, 1873
1695, 10433, 2007
1522, 10843, 2118
1686, 10638, 2106
